offline_datapoint_3 1708452168 0,029
offline_datapoint_22 1708452168 26,338
offline_datapoint_15 1708452168 98,832
offline_datapoint_4 1708452168 2,334
offline_datapoint_27 1708452168 7368,911
offline_datapoint_9 1708452168 0,002
offline_datapoint_16 1708452173 135911,000
offline_datapoint_10 1708452173 7041,000
offline_datapoint_1 1708452173 2029600768,000
offline_datapoint_19 1708452173 827432960,000
offline_datapoint_8 1708452173 26460626944,000
offline_datapoint_14 1708452173 692695040,000
offline_datapoint_0 1708452173 18953,000
offline_datapoint_24 1708452171 0,667
offline_datapoint_13 1708452171 20365,517
offline_datapoint_26 1708452173 692695040,000
offline_datapoint_6 1708452171 0,667
offline_datapoint_25 1708452173 17878155264,000
offline_datapoint_12 1708452173 15343939584,000
offline_datapoint_11 1708452171 0,065
offline_datapoint_17 1708452171 8,626
offline_datapoint_29 1708452171 0,911
offline_datapoint_18 1708452171 38426,234
offline_datapoint_23 1708452173 0,000
offline_datapoint_5 1708452171 33025,253
offline_datapoint_21 1708452171 1101,064
offline_datapoint_3 1708452171 0,027
offline_datapoint_22 1708452171 22,668
offline_datapoint_15 1708452171 99,748
offline_datapoint_4 1708452171 4,000
offline_datapoint_27 1708452171 11783,529
offline_datapoint_9 1708452171 0,002
offline_datapoint_16 1708452176 135911,000
offline_datapoint_10 1708452176 7044,000
offline_datapoint_1 1708452176 2029740032,000
offline_datapoint_19 1708452176 827432960,000
offline_datapoint_8 1708452176 26479173632,000
offline_datapoint_14 1708452176 692985856,000
offline_datapoint_0 1708452176 18951,000
offline_datapoint_24 1708452174 6,001
offline_datapoint_13 1708452174 12764,288
offline_datapoint_26 1708452176 692985856,000
offline_datapoint_6 1708452174 1,334
offline_datapoint_25 1708452176 17894514688,000
offline_datapoint_12 1708452176 15356030976,000
offline_datapoint_11 1708452174 0,000
offline_datapoint_17 1708452174 8,155
offline_datapoint_29 1708452174 0,586
offline_datapoint_18 1708452174 43458,654
offline_datapoint_23 1708452176 0,000
offline_datapoint_5 1708452174 41603,036
offline_datapoint_21 1708452174 1910,959
offline_datapoint_3 1708452174 0,027
offline_datapoint_22 1708452174 23,004
